######################### RICH Reconstruction PMs indexed positions #######################
#PMPosition: NPMs (starting from 0, grouped by 8, x y couples)
PMPosition_SC_34= 252.00 15.59 270.00 15.59 288.00 15.59 261.00 31.18 279.00 31.18 252.00 46.77 270.00 46.77 288.00 46.77
PMPosition_SC_35= -189.00 218.24 -171.00 218.24 -153.00 218.24 -180.00 233.83 -162.00 233.83 -189.00 249.42 -171.00 249.42 -153.00 249.42
PMPosition_SC_36= -144.00 202.65 -126.00 202.65 -108.00 202.65 -135.00 218.24 -117.00 218.24 -144.00 233.83 -126.00 233.83 -108.00 233.83
PMPosition_SC_37= -99.00 187.06 -81.00 187.06 -63.00 187.06 -90.00 202.65 -72.00 202.65 -99.00 218.24 -81.00 218.24 -63.00 218.24
PMPosition_SC_38= -54.00 171.47 -36.00 171.47 -18.00 171.47 -45.00 187.06 -27.00 187.06 -54.00 202.65 -36.00 202.65 -18.00 202.65
PMPosition_SC_39= -9.00 155.88 9.00 155.88 27.00 155.88 0.00 171.47 18.00 171.47 -9.00 187.06 9.00 187.06 27.00 187.06
PMPosition_SC_40= 36.00 140.30 54.00 140.30 72.00 140.30 45.00 155.88 63.00 155.88 36.00 171.47 54.00 171.47 72.00 171.47
PMPosition_SC_41= 81.00 124.71 99.00 124.71 117.00 124.71 90.00 140.30 108.00 140.30 81.00 155.88 99.00 155.88 117.00 155.88
PMPosition_SC_42= 126.00 109.12 144.00 109.12 162.00 109.12 135.00 124.71 153.00 124.71 126.00 140.30 144.00 140.30 162.00 140.30
PMPosition_SC_43= 171.00 93.53 189.00 93.53 207.00 93.53 180.00 109.12 198.00 109.12 171.00 124.71 189.00 124.71 207.00 124.71
PMPosition_SC_44= 216.00 77.94 234.00 77.94 252.00 77.94 225.00 93.53 243.00 93.53 216.00 109.12 234.00 109.12 252.00 109.12
PMPosition_SC_45= 261.00 62.35 279.00 62.35 297.00 62.35 270.00 77.94 288.00 77.94 261.00 93.53 279.00 93.53 297.00 93.53
PMPosition_SC_46= -135.00 249.42 -117.00 249.42 -99.00 249.42 -126.00 265.00 -108.00 265.00 -135.00 280.59 -117.00 280.59 -99.00 280.59
PMPosition_SC_47= -90.00 233.83 -72.00 233.83 -54.00 233.83 -81.00 249.42 -63.00 249.42 -90.00 265.00 -72.00 265.00 -54.00 265.00
PMPosition_SC_48= -45.00 218.24 -27.00 218.24 -9.00 218.24 -36.00 233.83 -18.00 233.83 -45.00 249.42 -27.00 249.42 -9.00 249.42
PMPosition_SC_49= 0.00 202.65 18.00 202.65 36.00 202.65 9.00 218.24 27.00 218.24 0.00 233.83 18.00 233.83 36.00 233.83
PMPosition_SC_50= 45.00 187.06 63.00 187.06 81.00 187.06 54.00 202.65 72.00 202.65 45.00 218.24 63.00 218.24 81.00 218.24
PMPosition_SC_51= 90.00 171.47 108.00 171.47 126.00 171.47 99.00 187.06 117.00 187.06 90.00 202.65 108.00 202.65 126.00 202.65
PMPosition_SC_52= 135.00 155.88 153.00 155.88 171.00 155.88 144.00 171.47 162.00 171.47 135.00 187.06 153.00 187.06 171.00 187.06
PMPosition_SC_53= 180.00 140.30 198.00 140.30 216.00 140.30 189.00 155.88 207.00 155.88 180.00 171.47 198.00 171.47 216.00 171.47
PMPosition_SC_54= 225.00 124.71 243.00 124.71 261.00 124.71 234.00 140.30 252.00 140.30 225.00 155.88 243.00 155.88 261.00 155.88
PMPosition_SC_55= -36.00 265.00 -18.00 265.00 0.00 265.00 -27.00 280.59 -9.00 280.59 -36.00 296.18 -18.00 296.18 0.00 296.18
PMPosition_SC_56= 9.00 249.42 27.00 249.42 45.00 249.42 18.00 265.00 36.00 265.00 9.00 280.59 27.00 280.59 45.00 280.59
PMPosition_SC_57= 54.00 233.83 72.00 233.83 90.00 233.83 63.00 249.42 81.00 249.42 54.00 265.00 72.00 265.00 90.00 265.00
PMPosition_SC_58= 99.00 218.24 117.00 218.24 135.00 218.24 108.00 233.83 126.00 233.83 99.00 249.42 117.00 249.42 135.00 249.42
